bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python黑客攻防入门+Python黑帽子 黑客与渗透测试编程之道+Python绝技 运用Python成为黑客 全3册 程序设计教材 计算机程序,无,东南大学出版社,2019年04月,185.00,9787564177355,1,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>CC++C#VCVC++
Python高效开发实战:Django、Tornado、Flask、Twisted(第2版) 刘长龙 9787121355066,刘长龙,电子工业出版社,2018年12月,54.45,9787121355066,1,胶版纸,平装-胶订,否,图书>青春文学>校园
Python 3爬虫 数据清洗与可视化实战 零一 python3网络爬虫教程书籍 Python数据抓取技术书 Python基础入门图书籍,零一,电子工业出版社,2018年03月,42.40,9787121333590,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python与机器学习实战+机器学习系统设计 Python语言实现+Python大战机器学习 3本 机器学习算法 机器学习模型 数据挖掘技术图书籍,无,无,2019年04月,188.00,9787121317200,0,纯质纸,平装-胶订,是,图书>计算机/网络>程序设计>Python
Python编程从入门到实践 python3.0绝技核心编程基础教程 网络爬虫入门书籍 python 视频编程从入门到精通 程序设计教材,Eric Matthes,人民邮电出版社,2019年01月,89.00,9787115428028,0,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
PYTHON 新手学DJANGO 2.0架站的16堂课(第2版) 清华大学出版社,何敏煌、林亮昀,清华大学出版社,2019年04月,68.00,9787302523321,0,轻型纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python编程入门（第3版）【学习Python基础知识的不二选择，Python程序员必备的参考指南！】,(加)Toby Donaldson,人民邮电出版社,2013年12月,30.50,9787115333742,1358,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
深度学习原理与实践,陈仲铭 彭凌西,人民邮电出版社,2018年08月,61.10,9787115483676,216,胶版纸,平装-胶订,否,图书>计算机/网络>人工智能>深度学习与神经网络
"[二手旧书9成新]йPython 黑帽子：黑客与渗透测试编程之道Justin Seitz（贾斯汀·塞茨）,孙松柏 李聪 润秋 9787121266836 电子工业出版社","Justin Seitz（贾斯汀·塞茨）,孙松柏 李聪 润秋",电子工业出版社,2015年08月,30.80,9787121266836,0,胶版纸,平装-胶订,否,图书>二手书>计算机/网络二手书
Python绝技:运用Python成为数据工程师 黄文青 9787121336546,黄文青,电子工业出版社,2018年05月,43.45,9787121336546,0,胶版纸,平装-胶订,否,图书>自然科学>数学>数学理论
python基础教程教材Python编程从零基础到项目实战实例python入门python语言及其应用程序设计python爬虫书籍python视频教程小甲鱼,刘瑜,中国水利水电出版社,2019年04月,65.00,9787517067146,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python从入门到项目实践+零基础学python 全2册 自学Python软件开发从入门到精通 网格爬虫 Python语言 Python开发视频教程,天津滨海迅,南开大学出版社有限公司,2017年04月,114.00,9787310056118,3,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python程序设计,编者,浙江大学,2019年01月,31.97,9787308189774,1,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
爱上micro:bit,梁森山 谢作如,人民邮电出版社,2018年10月,62.10,9787115490643,141,胶版纸,平装-胶订,否,图书>工业技术>电子通信>一般性问题
Python金融衍生品大数据分析 建模 模拟 校准与对冲 python大数据分析技术教程书籍 python数据挖掘 交易量化投资策略书籍,蔡立耑 译,电子工业出版社,2019年04月,64.50,9787121313363,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机理论
"Python编程与问题求解 [印]E Balagurusamy 秦臻,肖俊超 9787302484912","[印]E Balagurusamy 秦臻,肖俊超",清华大学出版社,2017年10月,34.68,9787302484912,0,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Python程序设计——从基础开发到数据分析(微课版) 夏敏捷、程传鹏、韩新超、宋宝卫 9787302515326 清华大学出版社,夏敏捷、程传鹏、韩新超、宋宝卫,清华大学出版社,2019年05月,46.90,9787302515326,0,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Python编程基础与案例集锦(中学版),董付国//应根球,电子工业,2019年02月,33.81,9787121355394,0,胶版纸,平装-胶订,否,图书>中小学教辅>初中通用>其他科目
"Python数据分析(影印版,第2版) 东南大学出版社",(美)韦斯·麦金尼(Wes McKinney) 著,东南大学出版社,2018年02月,61.30,9787564175191,1,轻型纸,平装-胶订,否,图书>计算机/网络>数据库>Oracle
Python和Pygame游戏开发指南 Python 2D游戏开发应用实践教程计算机游戏编程教程案例实例分析Python语言编程指南程序设计入门书,Al Sweigart,人民邮电出版社,2019年04月,58.00,9787115407351,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python科学计算(附光盘第2版)网站开发系统管理应用程序 Python数据库创建工具 程序设计语言开发及应用 计算机编程开发攻略书籍,张若愚,清华大学出版社,2019年03月,106.00,9787302426585,1,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python测试之道 Python3.6编程程序设计Python教材 Python3.6测试开发实战指南 Python3.6数据处理接口自动化测试并发测试技术书籍,祁瑞华 郑旭红,清华大学出版社,2019年04月,55.00,9787302498087,0,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python3.7从零开始学+从零开始学Python数据分析与挖掘 全2册 笨方法学python编程快速上手从入门到精通 语言程序设计基础教程书籍,无,厦门大学出版社,2014年12月,140.00,9787561553817,1,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
【赠源代码】Python编程从入门到实践 python3.5绝技核心编程基础教程 网络爬虫入门书籍 python视频编程从入门到精通程序设计教材,无,人民邮电出版社,2018年10月,138.00,9787115428028,1,纯质纸,平装-胶订,是,图书>计算机/网络>行业软件及应用
Python从入门到精通 python核心编程入门书籍零基础自学习网络爬虫pathon编程从入门到实践 python基础教程语言程序设计算机小甲鱼,无,清华大学出版社,2019年03月,75.00,9787302503880,2,纯质纸,平装-胶订,否,图书>计算机/网络>计算机体系结构
【2本套】Python从入门到实践＋从零开始学Python网络爬虫 核心编程语言书籍 程序设计基础教学入门书籍 编程实践手册,John V. Guttag,人民邮电出版社,2015年04月,148.00,9787115388018,0,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
正版 Python编程入门 第3版 Python语言核心编程教程书籍python学习手册 Python基础教程 图灵程序设计丛书python编程从入门到精通,Toby Donaldson,人民邮电出版社,2013年11月,38.00,9787115333742,1,纯质纸,平装-胶订,否,图书>计算机/网络>计算机理论
"Python编程之美:实践指南 [美] Kenneth,Reitz（肯尼思·赖茨）,Tanya,Schlusser 9787121347573","[美] Kenneth,Reitz（肯尼思·赖茨）,Tanya,Schluss",电子工业出版社,2018年08月,48.95,9787121347573,0,胶版纸,平装-胶订,否,图书>管理>管理类职称考试>秘书资格考试用书
Python语言及其应用( 货号:711540709),卢布诺维克,人民邮电出版社发行部,2016年01月,67.15,9787115407099,3,胶版纸,平装,否,图书>工业技术>安全科学
Python+Spark 2.0+Hadoop机器学习与大数据实战 大数据技术教程书籍 大数据理论和技术教材 机器学习 数据可视化应用书籍,99.00,清华大学出版社,2019年03月,88.00,9787302490739,1,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python基础教程 Python编程从入门到实践 精通python核心编程网络爬虫开发 计算机程序设计python3数据分析零基础视频教程教材书籍,Eric Matthes,人民邮电出版社,2019年05月,89.00,9787115428028,1,纯质纸,平装-胶订,否,图书>计算机/网络>图形图像多媒体>其他
Python项目开发实战 第2版,日 BePROUD股份有限公司,人民邮电出版社,2016年12月,54.20,9787115438560,323,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
