bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python黑客攻防入门 Python黑客攻防技术教程书籍 Web黑客攻击程序应用 计算机网络黑客防范系统编程 程序设计教材 计算机安全书籍,赵诚文 郑暎勋,人民邮电出版社,2016年05月,52.16,9787115473004,2,胶版纸,平装-胶订,否,图书>休闲/爱好>游戏>其他游戏
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 Python3爬虫数据分析编程教程 游戏编程入门书籍 C++程序设计书籍,王晖,人民邮电出版社,2016年10月,166.00,9787811020724,1,胶版纸,平装-胶订,是,图书>计算机/网络>计算机理论
Python机器学习实践指南 自学增强人工智能AI工程师技术员算法软件基础开发应用代码计算机深度编程数据系统deep learning书籍,Alexander T.Combs,人民邮电出版社,2017年05月,61.00,9787115449061,1,胶版纸,平装-胶订,否,图书>法律>经济法>税法
树莓派Python编程指南 (美)布鲁德伯里 王文峰 机械工业出版社 9787111489863,"(美)布鲁德伯里,王文峰",机械工业出版社,2015年01月,58.50,9787111489863,1,胶版纸,平装-胶订,否,图书>计算机/网络>软件工程/开发项目管理
Python硬件编程实战 软件程序与设计书籍/Python开发环境搭建/Python语法+Python编程实战,李茂,机械工业出版社,2015年02月,102.00,9787111487746,0,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>PHP
Python机器学习基础教程+Photoshop CC 2015从入门到精通 图像处理图片抠图调色psCC2015平面UI设计*美工PS书籍教材,[德]安德里亚斯·穆勒(Andreas C. Müller)[美],人民邮电出版社,2018年05月,146.00,9787115475619,1,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>Python
Python初学特训班 港台原版 Python初学特训班 文渊阁工作室,无,碁峰,2019年03月,128.00,9789864764907,0,纯质纸,平装-胶订,否,图书>港台圖書>科技>设计语言
Python从小白到大牛 快速掌握 Python编程方法技巧 Python语法基础编码规范 Python多线程编程项目实战 Python编程语言教程书,无,东南大学出版社,2019年04月,69.00,9787564178666,0,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
【套装5本】Python深度学习入门 人工智能书籍 Python神经网络编程机器学习实战 深度学习ai算法 TensorFlow入门教程深度学习框架,刘瑜,中国水利水电,2018年10月,349.00,9787517067146,0,胶版纸,平装-胶订,否,图书>计算机/网络>人工智能>深度学习与神经网络
python基础教程 零基础学python3.5编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍 赠源代码/视频课程小甲鱼,无,人民邮电,2018年10月,305.00,9787115414779,1,纯质纸,平装-胶订,否,图书>计算机/网络>管理信息系统(MIS)
Python高性能编程 自学numpy框架集群代码运行实现可伸缩工程师Cython网络计算机技术员机器人工智能深度学习语言多I/O书籍,戈雷利克，欧日沃尔德,人民邮电出版社,2017年07月,69.84,9787115454898,0,胶版纸,平装-胶订,否,图书>自然科学>数学>数学理论
Python数据分析与应用：从数据获取到可视化 黑马程序员 9787113251451 中国铁道出版社,黑马程序员,中国铁道出版社,2019年03月,38.00,9787113251451,2,胶版纸,平装-胶订,否,图书>教材>高职高专教材>计算机
【全2册】Python机器学习基础教程+机器学习实战 从入门到精通 编程语言与程序设计机器学习人工智能计算机程序设计开发教程书籍,[德]安德里亚斯·穆勒,人民邮电出版社,2018年01月,123.00,9787115475619,1,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>网站开发
Python自动化运维:技术与*佳实践 刘天斯,刘天斯,机械工业出版社,2014年11月,43.50,,11,轻型纸,平装-胶订,否,图书>计算机/网络>操作系统/系统开发>系统开发
Python金融衍生品大数据分析：建模、模拟、校准与对冲 python大数据分析技术教程书籍 python数据挖掘 交易量化投资策略书籍,蔡立耑 译,电子工业出版社,2019年03月,97.00,9787121313363,0,纯质纸,平装-胶订,否,图书>计算机/网络>数码全攻略
python编程基础教程+c语言程序设计从入门到精通+java从入门到精通 计算机编程软件开发自学书籍数据结构与算法编程思想核心技术,无,电子工业出版社,2019年05月,146.80,9787121357954,0,纯质纸,平装-胶订,是,图书>计算机/网络>程序设计>CC++C#VCVC++
"Python程序设计与实践:用计算思维解决问题 焦福菊,孙青,李莹 9787302473893","焦福菊,孙青,李莹",清华大学出版社,2018年05月,16.82,9787302473893,0,胶版纸,平装-胶订,否,图书>教材>征订教材>高职高专
Python编程从入门到实践+C PRIMER PLUS第6版中文版+JAVA编程思想第4版 全3册 零基础自学 程序设计开发 网络爬虫语言编程数据结构,戴善荣,西安电子科技大学出版社,2005年05月,286.00,9787560614793,0,纯质纸,平装-胶订,否,图书>计算机/网络>程序设计>CC++C#VCVC++
Python编程基础与接口测试 【正版书籍】,阿奎,电子工业出版社,2017年12月,30.20,9787121329951,0,胶版纸,平装-胶订,否,图书>计算机/网络>网络与数据通信>通信
Python核心编程 第3版 英文版 python程序开发教程书籍 python正则表达式 网络编程教程 python*书籍升级版 程序设计教材,"Wesley,Chun",人民邮电出版社,2019年04月,69.50,9787115413529,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机体系结构
Python机器学习及实践：从零开始通往Kaggle竞赛之路 python机器学习入门教程书籍+Python自然语言处理 python编程语言程序设计应用指南书籍自然语言处理从入门到精通,范淼、李超,清华大学出版社,2016年10月,124.90,9787302442875,0,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>Python
【套装4本】Python编程从入门到实践+C Primer Plus第6版c语言+Java编程思想第4版+重构改善既有代码的设计第2版 程序员编程入门书,彼得·J·琼斯,电子工业出版社,2019年03月,450.00,9787121273063,0,纯质纸,平装-胶订,否,图书>文学>纪实文学
Python自动化运维快速入门 Python自动化运维技术 Docker容器技术 Python教程书籍 高等院校计算机及相关专业教材书籍,郑征,清华大学出版社,2019年03月,54.00,9787302525806,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python 网络爬虫实战 胡松涛 9787302457879,胡松涛,清华大学出版社,2016年12月,34.22,9787302457879,1,胶版纸,平装-胶订,否,图书>计算机/网络>网络与数据通信>网络配置与管理
Python与机器学习实战决策树、集成学习、支持向量机与神经网络算法详解及编程实现+Python机器学习,何宇健,电子工业出版社,2017年07月,142.00,9787121317200,1,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>PHP
Python神经网络编程 计算机/网络 人工智能+SQL Server 2016 从入门到实战(视频教学版) 数据库技术丛书 数据库可视化设计与开发基础及应用视频教程 SQL Server新手自学,孙亚南，郝军,清华大学出版社,2017年11月,136.00,9787302491132,0,胶版纸,平装-胶订,是,图书>计算机/网络>操作系统/系统开发>系统开发
Python与量化投资 从基础到实战 王小川 Python量化投资策略分析技术工具 金融数据分析挖掘信号构建 Python基础知识入门图书籍,王小川,电子工业出版社,2019年03月,98.00,9787121338571,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python项目开发实战 第2版*9787115438560 日 BePROUD股份有限公司,日 BePROUD股份有限公司,人民邮电出版社,2016年12月,55.60,9787115438561,2,胶版纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python量化交易实战,王晓华,清华大学出版社,2019年06月,58.00,9787302517634,0,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
